EU_NON_EU,Continent,Country,FlowType,Year,Month,Value
EU,European Union,Austria,EU - Exports,2015,January,130627089
EU,European Union,Austria,EU - Exports,2015,February,132135610
EU,European Union,Austria,EU - Exports,2015,March,126194919
EU,European Union,Austria,EU - Exports,2015,April,136500551
EU,European Union,Austria,EU - Exports,2015,May,120878331
EU,European Union,Austria,EU - Exports,2015,June,126498618
EU,European Union,Austria,EU - Exports,2015,July,118923587
EU,European Union,Austria,EU - Exports,2015,August,109780025
EU,European Union,Austria,EU - Exports,2015,September,150213964
EU,European Union,Austria,EU - Exports,2015,October,150079478
EU,European Union,Austria,EU - Exports,2015,November,145648996
EU,European Union,Austria,EU - Exports,2015,December,156406082
EU,European Union,Austria,EU - Exports,2016,January,127759874
EU,European Union,Austria,EU - Exports,2016,February,144940688
EU,European Union,Austria,EU - Exports,2016,March,154169517
EU,European Union,Austria,EU - Exports,2016,April,163583859
EU,European Union,Austria,EU - Exports,2016,May,139911306
EU,European Union,Austria,EU - Exports,2016,June,153356275
EU,European Union,Austria,EU - Exports,2016,July,142513759
EU,European Union,Austria,EU - Exports,2016,August,152706849
EU,European Union,Austria,EU - Exports,2016,September,164676993
EU,European Union,Austria,EU - Exports,2016,October,156924904
EU,European Union,Austria,EU - Exports,2016,November,163284155
EU,European Union,Austria,EU - Exports,2016,December,138125394
EU,European Union,Austria,EU - Exports,2017,January,147757578
EU,European Union,Austria,EU - Exports,2017,February,144387027
EU,European Union,Austria,EU - Exports,2017,March,200156792
EU,European Union,Austria,EU - Exports,2017,April,133498504
EU,European Union,Austria,EU - Exports,2017,May,151556734
EU,European Union,Austria,EU - Exports,2017,June,145355343
EU,European Union,Austria,EU - Exports,2017,July,152500305
EU,European Union,Austria,EU - Exports,2017,August,148023811
EU,European Union,Austria,EU - Exports,2017,September,165628715
EU,European Union,Austria,EU - Exports,2017,October,169237908
EU,European Union,Austria,EU - Exports,2017,November,165576425
EU,European Union,Austria,EU - Exports,2017,December,145978828
EU,European Union,Austria,EU - Exports,2018,January,186980717
EU,European Union,Austria,EU - Exports,2018,February,174716229
EU,European Union,Austria,EU - Exports,2018,March,202132415
EU,European Union,Austria,EU - Exports,2018,April,154583251
EU,European Union,Austria,EU - Exports,2018,May,164821858
EU,European Union,Austria,EU - Exports,2018,June,171839576
EU,European Union,Austria,EU - Exports,2018,July,151008456
EU,European Union,Austria,EU - Exports,2018,August,139598850
EU,European Union,Austria,EU - Exports,2018,September,164477116
EU,European Union,Austria,EU - Exports,2018,October,185275280
EU,European Union,Austria,EU - Exports,2018,November,175222136
EU,European Union,Austria,EU - Exports,2018,December,136655759
EU,European Union,Austria,EU - Exports,2019,January,177779838
EU,European Union,Austria,EU - Exports,2019,February,173909169
EU,European Union,Austria,EU - Exports,2019,March,196624020
EU,European Union,Austria,EU - Exports,2019,April,143370338
EU,European Union,Austria,EU - Exports,2019,May,164284769
EU,European Union,Austria,EU - Exports,2019,June,170972941
EU,European Union,Austria,EU - Exports,2019,July,150795532
EU,European Union,Austria,EU - Exports,2019,August,137009273
EU,European Union,Austria,EU - Exports,2019,September,159515768
EU,European Union,Austria,EU - Exports,2019,October,165970643
EU,European Union,Austria,EU - Exports,2019,November,126093627
EU,European Union,Austria,EU - Exports,2019,December,104541522
EU,European Union,Austria,EU - Imports,2015,January,209497885
EU,European Union,Austria,EU - Imports,2015,February,237407146
EU,European Union,Austria,EU - Imports,2015,March,272186577
EU,European Union,Austria,EU - Imports,2015,April,228456743
EU,European Union,Austria,EU - Imports,2015,May,266718060
EU,European Union,Austria,EU - Imports,2015,June,270805416
EU,European Union,Austria,EU - Imports,2015,July,245226678
EU,European Union,Austria,EU - Imports,2015,August,215525419
EU,European Union,Austria,EU - Imports,2015,September,289144913
EU,European Union,Austria,EU - Imports,2015,October,295619888
EU,European Union,Austria,EU - Imports,2015,November,271726731
EU,European Union,Austria,EU - Imports,2015,December,232778317
EU,European Union,Austria,EU - Imports,2016,January,238159518
EU,European Union,Austria,EU - Imports,2016,February,265874962
EU,European Union,Austria,EU - Imports,2016,March,273426834
EU,European Union,Austria,EU - Imports,2016,April,281847902
EU,European Union,Austria,EU - Imports,2016,May,271221325
EU,European Union,Austria,EU - Imports,2016,June,276156609
EU,European Union,Austria,EU - Imports,2016,July,258073857
EU,European Union,Austria,EU - Imports,2016,August,257487064
EU,European Union,Austria,EU - Imports,2016,September,285033815
EU,European Union,Austria,EU - Imports,2016,October,269093939
EU,European Union,Austria,EU - Imports,2016,November,296229571
EU,European Union,Austria,EU - Imports,2016,December,257436564
EU,European Union,Austria,EU - Imports,2017,January,267066467
EU,European Union,Austria,EU - Imports,2017,February,241619563
EU,European Union,Austria,EU - Imports,2017,March,300025338
EU,European Union,Austria,EU - Imports,2017,April,237799088
EU,European Union,Austria,EU - Imports,2017,May,264760434
EU,European Union,Austria,EU - Imports,2017,June,292279852
EU,European Union,Austria,EU - Imports,2017,July,308469369
EU,European Union,Austria,EU - Imports,2017,August,253070595
EU,European Union,Austria,EU - Imports,2017,September,315502470
EU,European Union,Austria,EU - Imports,2017,October,288024695
EU,European Union,Austria,EU - Imports,2017,November,298164964
EU,European Union,Austria,EU - Imports,2017,December,253863385
EU,European Union,Austria,EU - Imports,2018,January,418663670
EU,European Union,Austria,EU - Imports,2018,February,319487479
EU,European Union,Austria,EU - Imports,2018,March,317522864
EU,European Union,Austria,EU - Imports,2018,April,311352704
EU,European Union,Austria,EU - Imports,2018,May,296149293
EU,European Union,Austria,EU - Imports,2018,June,320515467
EU,European Union,Austria,EU - Imports,2018,July,309772301
EU,European Union,Austria,EU - Imports,2018,August,279386035
EU,European Union,Austria,EU - Imports,2018,September,340051148
EU,European Union,Austria,EU - Imports,2018,October,329318280
EU,European Union,Austria,EU - Imports,2018,November,323469830
EU,European Union,Austria,EU - Imports,2018,December,278199310
EU,European Union,Austria,EU - Imports,2019,January,334408564
EU,European Union,Austria,EU - Imports,2019,February,366004146
EU,European Union,Austria,EU - Imports,2019,March,394886841
EU,European Union,Austria,EU - Imports,2019,April,328362103
EU,European Union,Austria,EU - Imports,2019,May,305070437
EU,European Union,Austria,EU - Imports,2019,June,307390332
EU,European Union,Austria,EU - Imports,2019,July,372460804
EU,European Union,Austria,EU - Imports,2019,August,266466708
EU,European Union,Austria,EU - Imports,2019,September,352418759
EU,European Union,Austria,EU - Imports,2019,October,372138871
EU,European Union,Austria,EU - Imports,2019,November,283944666
EU,European Union,Austria,EU - Imports,2019,December,248628756
EU,European Union,Belgium,EU - Exports,2015,January,922636308
EU,European Union,Belgium,EU - Exports,2015,February,853215807
EU,European Union,Belgium,EU - Exports,2015,March,1023715650
EU,European Union,Belgium,EU - Exports,2015,April,961627160
EU,European Union,Belgium,EU - Exports,2015,May,1002964913
EU,European Union,Belgium,EU - Exports,2015,June,949736679
EU,European Union,Belgium,EU - Exports,2015,July,1080637866
EU,European Union,Belgium,EU - Exports,2015,August,899295803
EU,European Union,Belgium,EU - Exports,2015,September,1072752889
EU,European Union,Belgium,EU - Exports,2015,October,1068615250
EU,European Union,Belgium,EU - Exports,2015,November,935924453
EU,European Union,Belgium,EU - Exports,2015,December,817416789
EU,European Union,Belgium,EU - Exports,2016,January,844995074
EU,European Union,Belgium,EU - Exports,2016,February,887894225
EU,European Union,Belgium,EU - Exports,2016,March,982546498
EU,European Union,Belgium,EU - Exports,2016,April,1002242710
EU,European Union,Belgium,EU - Exports,2016,May,995328622
EU,European Union,Belgium,EU - Exports,2016,June,907291497
